title,"count TW","count total",key,publisher,url
naturgucker,1064,9076940,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,naturgucker.de,https://www.gbif.org/dataset/6ac3f774-d9fb-4796-b3e9-92bf6c81c084
"MEL AVH data",939,5481472,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,"Australia's Virtual Herbarium",https://www.gbif.org/dataset/4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4
"Tropicos Specimen Data",3270,4440020,7bd65a7a-f762-11e1-a439-00145eb45e9a,"Missouri Botanical Garden",https://www.gbif.org/dataset/7bd65a7a-f762-11e1-a439-00145eb45e9a
"International Barcode of Life project (iBOL)",3263,2789906,040c5662-da76-4782-a48e-cdea1892d14c,"Institute of Biodiversity, Animal Health and Comparative Medicine, College of Medical, Veterinary and Life Sciences, University of Glasgow",https://www.gbif.org/dataset/040c5662-da76-4782-a48e-cdea1892d14c
"Biologiezentrum Linz",115,2243034,857bce66-f762-11e1-a439-00145eb45e9a,"Biologiezentrum Linz Oberoesterreich",https://www.gbif.org/dataset/857bce66-f762-11e1-a439-00145eb45e9a
"Meise Botanic Garden Herbarium (BR)",251,1541179,b740eaa0-0679-41dc-acb7-990d562dfa37,"Botanic Garden Meise",https://www.gbif.org/dataset/b740eaa0-0679-41dc-acb7-990d562dfa37
"Australian Museum provider for OZCAM",638,1365183,dce8feb0-6c89-11de-8225-b8a03c50a862,"Australian Museum",https://www.gbif.org/dataset/dce8feb0-6c89-11de-8225-b8a03c50a862
"Paleobiology Database",626,1310925,bb5b30b4-827e-4d5e-a86a-825d65cb6583,"Paleobiology Database",https://www.gbif.org/dataset/bb5b30b4-827e-4d5e-a86a-825d65cb6583
"PlutoF platform observations",3,1288808,169fa761-2fb9-4022-93bd-e22b7a062efd,PlutoF,https://www.gbif.org/dataset/169fa761-2fb9-4022-93bd-e22b7a062efd
PRECIS,4,1124142,1881d048-04f9-4bc2-b7c8-931d1659a354,"South African National Biodiversity Institute",https://www.gbif.org/dataset/1881d048-04f9-4bc2-b7c8-931d1659a354
"Phanerogamic Botanical Collections (S)",1231,1030627,0943f690-fde5-11dd-83f4-b8a03c50a862,GBIF-Sweden,https://www.gbif.org/dataset/0943f690-fde5-11dd-83f4-b8a03c50a862
"EURISCO, The European Genetic Resources Search Catalogue",294,976457,865df020-f762-11e1-a439-00145eb45e9a,"Bioversity International",https://www.gbif.org/dataset/865df020-f762-11e1-a439-00145eb45e9a
"University of Michigan Herbarium",149,962519,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,"University of Michigan Herbarium",https://www.gbif.org/dataset/c8d12f8a-7e39-4e2c-92d7-825d590ad15b
"Royal Botanic Gardens, Kew - Herbarium Specimens",733,924700,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,"Royal Botanic Gardens, Kew",https://www.gbif.org/dataset/cd6e21c8-9e8a-493a-8a76-fbf7862069e5
"Royal Botanic Garden Edinburgh Herbarium (E)",1723,903681,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,"Royal Botanic Garden Edinburgh",https://www.gbif.org/dataset/bf2a4bf0-5f31-11de-b67e-b8a03c50a862
"MICROBIS database",4,898985,840ebec6-f762-11e1-a439-00145eb45e9a,"Marine Biology Laboratory",https://www.gbif.org/dataset/840ebec6-f762-11e1-a439-00145eb45e9a
"Queensland Museum provider for OZCAM",498,869147,a79c2b50-6c8a-11de-8226-b8a03c50a862,"Queensland Museum",https://www.gbif.org/dataset/a79c2b50-6c8a-11de-8226-b8a03c50a862
"Museums Victoria provider for OZCAM",143,841721,39905320-6c8a-11de-8226-b8a03c50a862,"Museums Victoria",https://www.gbif.org/dataset/39905320-6c8a-11de-8226-b8a03c50a862
"Bernice P. Bishop Museum",1533,836971,b929f23d-290f-4e85-8f17-764c55b3b284,"Bernice Pauahi Bishop Museum",https://www.gbif.org/dataset/b929f23d-290f-4e85-8f17-764c55b3b284
"AMNH Bird Collection",1906,833709,96c93a1e-f762-11e1-a439-00145eb45e9a,"American Museum of Natural History",https://www.gbif.org/dataset/96c93a1e-f762-11e1-a439-00145eb45e9a
"Western Australian Museum provider for OZCAM",39,794935,7c93d290-6c8b-11de-8226-b8a03c50a862,"Western Australian Museum",https://www.gbif.org/dataset/7c93d290-6c8b-11de-8226-b8a03c50a862
"Paleobiology Database",193,764816,84806e86-f762-11e1-a439-00145eb45e9a,"Marine Science Institute, UCSB",https://www.gbif.org/dataset/84806e86-f762-11e1-a439-00145eb45e9a
Fishbase,1532,731045,197908d0-5565-11d8-b290-b8a03c50a862,FishBase,https://www.gbif.org/dataset/197908d0-5565-11d8-b290-b8a03c50a862
"Botany (UPS)",124,706679,c1a13bf0-0c71-11dd-84d4-b8a03c50a862,GBIF-Sweden,https://www.gbif.org/dataset/c1a13bf0-0c71-11dd-84d4-b8a03c50a862
"The System-wide Information Network for Genetic Resources (SINGER)",5056,683018,85818aea-f762-11e1-a439-00145eb45e9a,"Bioversity International",https://www.gbif.org/dataset/85818aea-f762-11e1-a439-00145eb45e9a
"Illinois Natural History Survey Insect Collection",420,656321,68513375-3aa5-4f6f-9975-d97d56c21d61,"Illinois Natural History Survey",https://www.gbif.org/dataset/68513375-3aa5-4f6f-9975-d97d56c21d61
"LACM Vertebrate Collection",766,588222,7a25f7aa-03fb-4322-aaeb-66719e1a9527,"Natural History Museum of Los Angeles County",https://www.gbif.org/dataset/7a25f7aa-03fb-4322-aaeb-66719e1a9527
"Bee Biology and Systematics Laboratory",6,561820,10e44c48-0839-4a20-86d5-f0e23ae2e366,"USDA-ARS Bee Biology and Systematics Laboratory",https://www.gbif.org/dataset/10e44c48-0839-4a20-86d5-f0e23ae2e366
"South Australian Museum Australia provider for OZCAM",2,499013,fa375330-6c8a-11de-8226-b8a03c50a862,"South Australian Museum",https://www.gbif.org/dataset/fa375330-6c8a-11de-8226-b8a03c50a862
"C.A. Triplehorn Insect Collection (OSUC), Ohio State University",284,498736,84ab7b76-f762-11e1-a439-00145eb45e9a,"Museum of Biological Diversity, The Ohio State University",https://www.gbif.org/dataset/84ab7b76-f762-11e1-a439-00145eb45e9a
"University of California Museum of Paleontology",196,485433,58d0f326-2e85-4d0a-a744-571461220f00,"Berkeley Natural History Museums",https://www.gbif.org/dataset/58d0f326-2e85-4d0a-a744-571461220f00
"Estonian University of Life Sciences",193,477365,5d26c04c-d269-4e1a-9c54-0fc678fae56a,PlutoF,https://www.gbif.org/dataset/5d26c04c-d269-4e1a-9c54-0fc678fae56a
"Natural History Museum, University of Tartu",7,462917,8f7e3c45-4d76-4982-9478-651439e0cd4b,PlutoF,https://www.gbif.org/dataset/8f7e3c45-4d76-4982-9478-651439e0cd4b
"Field Museum of Natural History (Zoology) Insect, Arachnid and Myriapod Collection",250,443796,7931dcab-94f1-46ce-8092-56e4335423de,"Field Museum",https://www.gbif.org/dataset/7931dcab-94f1-46ce-8092-56e4335423de
MAL,1031,407594,86b50d88-f762-11e1-a439-00145eb45e9a,"Academy of Natural Sciences",https://www.gbif.org/dataset/86b50d88-f762-11e1-a439-00145eb45e9a
"Herbarium of Taiwan Forestry Research Institute",246464,406575,eb7681c5-5c9c-4e28-954f-f328991c7004,"Taiwan Forestry Research Institute",https://www.gbif.org/dataset/eb7681c5-5c9c-4e28-954f-f328991c7004
"Texas A&M University Insect Collection",316,404842,96193ea2-f762-11e1-a439-00145eb45e9a,"Texas A&M University Insect Collection",https://www.gbif.org/dataset/96193ea2-f762-11e1-a439-00145eb45e9a
Edaphobase,40,394134,82a421d4-f762-11e1-a439-00145eb45e9a,"Senckenberg Museum für Naturkunde Görlitz",https://www.gbif.org/dataset/82a421d4-f762-11e1-a439-00145eb45e9a
"Herbarium Berolinense",102,380448,85714c48-f762-11e1-a439-00145eb45e9a,"Botanic Garden and Botanical Museum Berlin-Dahlem",https://www.gbif.org/dataset/85714c48-f762-11e1-a439-00145eb45e9a
"Naturalis Biodiversity Center (NL) - Museum collection digitized at storage unit level",10,368853,62d82928-dc6f-40dc-85b3-f2be47e7b49a,"Naturalis Biodiversity Center",https://www.gbif.org/dataset/62d82928-dc6f-40dc-85b3-f2be47e7b49a
"AMNH Herpetology Collections",514,349178,71d0dff0-f762-11e1-a439-00145eb45e9a,"American Museum of Natural History",https://www.gbif.org/dataset/71d0dff0-f762-11e1-a439-00145eb45e9a
"Carnet en Ligne",2,335075,baa86fb2-7346-4507-a34f-44e4c1bd0d57,"Tela Botanica",https://www.gbif.org/dataset/baa86fb2-7346-4507-a34f-44e4c1bd0d57
"NOAA Deep Sea Corals Research and Technology Program",3,333324,df8e3fb8-3da7-4104-a866-748f6da20a3c,"United States Geological Survey",https://www.gbif.org/dataset/df8e3fb8-3da7-4104-a866-748f6da20a3c
"USGS PWRC - Native Bee Inventory and Monitoring Lab (BIML)",3,329917,f519367d-6b9d-411c-b319-99424741e7de,"United States Geological Survey",https://www.gbif.org/dataset/f519367d-6b9d-411c-b319-99424741e7de
"Fungi (S)",131,327284,fe35d6a0-0c6e-11dd-84d2-b8a03c50a862,GBIF-Sweden,https://www.gbif.org/dataset/fe35d6a0-0c6e-11dd-84d2-b8a03c50a862
"CAS Herpetology (HERP)",3134,317211,cece4fc2-1fec-4bb5-a335-7252548e3f0b,"California Academy of Sciences",https://www.gbif.org/dataset/cece4fc2-1fec-4bb5-a335-7252548e3f0b
"United States National Plant Germplasm System Collection",705,313949,85802736-f762-11e1-a439-00145eb45e9a,"US National Plant Germplasm System",https://www.gbif.org/dataset/85802736-f762-11e1-a439-00145eb45e9a
"AMNH Mammal Collections",845,290333,96ca66b4-f762-11e1-a439-00145eb45e9a,"American Museum of Natural History",https://www.gbif.org/dataset/96ca66b4-f762-11e1-a439-00145eb45e9a
"Field Museum of Natural History (Zoology) Amphibian and Reptile Collection",4101,285727,e48d6c49-34a3-4df6-8206-121c061f190d,"Field Museum",https://www.gbif.org/dataset/e48d6c49-34a3-4df6-8206-121c061f190d
"Natural History Museum, Vienna - Herbarium W",350,274661,7f5260c2-f762-11e1-a439-00145eb45e9a,"Natural History Museum, Vienna - Herbarium W",https://www.gbif.org/dataset/7f5260c2-f762-11e1-a439-00145eb45e9a
"Plantae, TAIF (Taiwan e-Learning and Digital Archives Program, TELDAP)",100222,268160,8d7c4dd0-c75e-11dd-87ef-b8a03c50a862,TELDAP,https://www.gbif.org/dataset/8d7c4dd0-c75e-11dd-87ef-b8a03c50a862
"Entomological Specimens of Museum of Nature and Human Activities, Hyogo Pref., Japan",9958,267243,68c30283-d2a7-4742-96cb-52e249598ff9,"National Institute of Genetics, ROIS",https://www.gbif.org/dataset/68c30283-d2a7-4742-96cb-52e249598ff9
"WFVZ Bird Collections",10,267236,8be43f9b-52e7-47d4-be3e-dbcc066d70ab,"Western Foundation of Vertebrate Zoology",https://www.gbif.org/dataset/8be43f9b-52e7-47d4-be3e-dbcc066d70ab
"Auckland Museum Botany Collection",10,258707,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,"Auckland War Memorial Museum",https://www.gbif.org/dataset/83ae84cf-88e4-4b5c-80b2-271a15a3e0fc
"IZIKO South Africa Museum Collection (1800-2013)",3,258397,7b468209-8d5c-477b-b118-cdf04dde9912,"South African National Biodiversity Institute",https://www.gbif.org/dataset/7b468209-8d5c-477b-b118-cdf04dde9912
"Estonian Museum of Natural History",95,256412,5733a11d-9286-469c-a9f1-9b21c1e57caa,PlutoF,https://www.gbif.org/dataset/5733a11d-9286-469c-a9f1-9b21c1e57caa
"Lyman Entomological Museum (LEMQ)",10,255092,275319e1-f91c-406f-b239-62cb9d4185cb,"McGill University",https://www.gbif.org/dataset/275319e1-f91c-406f-b239-62cb9d4185cb
"Field Museum of Natural History (Zoology) Invertebrate Collection",212,254268,005eb8d8-ed94-41be-89cf-e3115a9058e4,"Field Museum",https://www.gbif.org/dataset/005eb8d8-ed94-41be-89cf-e3115a9058e4
"Biodiversity Research and Teaching Collections - TCWC Vertebrates",66,250277,b6015b60-6f96-43a9-88e5-2f41854e8f07,"Texas A&M University Biodiversity Research and Teaching Collections",https://www.gbif.org/dataset/b6015b60-6f96-43a9-88e5-2f41854e8f07
"Northern Territory Museum and Art Gallery provider for OZCAM",703,229051,793c3890-6c8a-11de-8226-b8a03c50a862,"Museum and Art Gallery of the Northern Territory",https://www.gbif.org/dataset/793c3890-6c8a-11de-8226-b8a03c50a862
"Planetary Biodiversity Inventory Eumycetozoan Databank",3,223245,85af82a6-f762-11e1-a439-00145eb45e9a,"University of Arkansas",https://www.gbif.org/dataset/85af82a6-f762-11e1-a439-00145eb45e9a
"Field Museum of Natural History (Zoology) Mammal Collection",24,222920,41fc5c40-5e81-496f-9733-6b5681b3b7a5,"Field Museum",https://www.gbif.org/dataset/41fc5c40-5e81-496f-9733-6b5681b3b7a5
"Macaulay Library Audio and Video Collection",508,220286,7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1,"Cornell Lab of Ornithology",https://www.gbif.org/dataset/7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1
